text_name,num_sentences,num_words,num_chars,num_noun,num_verb,num_particple,num_adjective,num_adverb,num_conjunction,num_preposition,num_pronoun,num_numeral,num_interjection,num_exclamation,num_punctuation,num_unknown,num_-,num_untagged
lig,197,3331,17563,879,605,92,276,364,336,244,456,1,0,2,0,0,2,74
cat,543,12817,71568,3631,2126,454,1287,1286,1276,813,1541,3,0,10,0,0,3,387
partitione,521,10046,56567,2848,1619,360,757,915,1460,785,878,4,0,0,0,0,0,420
balbo,260,6858,38861,2120,1110,183,731,625,753,448,673,1,0,6,0,0,0,208
marc,123,2838,15269,778,444,102,293,365,337,138,292,0,0,0,0,0,1,88
nd,1469,36351,200544,10309,6604,1228,3073,3669,4386,2096,3460,24,0,4,0,0,15,1483
sex,670,13486,73012,3342,2751,335,1152,1465,1353,854,1724,8,0,4,4,0,10,484
rabiriopost,249,4130,22587,1064,796,127,364,498,434,220,488,10,0,2,0,0,4,123
adbrutum,694,9979,53407,2678,1753,274,950,1110,1021,668,1177,5,0,3,1,0,17,322
verres,4715,97088,549985,27944,17615,3175,9227,9576,8723,6645,11051,92,0,48,0,0,28,2964
rosccom,398,4796,25872,1268,1009,135,335,563,467,330,574,4,0,1,0,0,1,109
topica,341,6916,37968,1927,1266,256,557,647,834,529,767,2,0,0,0,0,5,126
sulla,409,9376,51668,2618,1562,265,837,961,953,660,1282,1,0,8,0,0,2,227
rabirio,408,7824,42789,2283,1320,212,746,820,793,488,840,10,0,2,0,0,14,296
ver,4913,101830,577080,29301,18401,3329,9703,10045,9156,6952,11596,97,0,49,0,0,33,3168
imp,267,6772,38623,2039,1023,218,762,652,654,477,703,5,0,0,0,0,1,238
prov,216,5160,29245,1525,832,179,529,545,528,312,591,3,0,0,0,0,4,112
cluentio,1171,21010,119059,5970,3844,811,1776,2151,1996,1424,2522,12,0,5,0,0,16,483
inventione,1292,33678,184164,8928,6541,946,2564,3044,4401,2840,3527,20,0,159,146,0,250,312
leg,1727,33113,183272,9655,5755,1068,3069,3301,3466,2069,3455,33,0,12,3,0,26,1201
off,1601,34821,194839,9278,6622,1098,3021,3519,4391,2176,3416,27,0,9,0,0,9,1255
caecilium,228,5882,31835,1487,1107,138,470,638,547,397,881,1,0,1,0,0,3,212
fonteio,237,4715,26871,1442,734,151,505,417,475,319,478,1,0,2,2,0,5,184
legagr,664,13984,80172,4244,2504,420,1456,1295,1317,842,1521,12,0,4,0,0,6,363
repub,820,20067,109777,5614,3386,588,1909,1986,2336,1224,1993,22,0,10,11,0,8,980
amic,412,9456,51609,2454,1786,247,744,1114,1193,638,988,4,0,3,0,0,4,281
divinatione,1443,28118,156858,7775,5397,1089,2248,2800,3239,1660,2845,27,0,6,5,0,15,1012
compet,149,4420,24045,1161,794,120,398,445,540,297,600,6,0,0,1,0,3,55
haruspicum,311,7666,43178,2240,1227,273,773,741,691,487,916,1,0,4,0,0,4,309
milo,679,10725,58779,2989,1861,380,1004,1197,1047,639,1268,5,0,6,0,0,10,319
cael,400,8555,48224,2434,1474,283,738,940,905,556,977,4,0,5,0,0,2,237
quinc,501,8791,48067,2256,1884,277,610,1018,839,549,1052,6,0,9,4,0,6,281
paradoxa,276,4445,24087,1155,856,141,379,499,497,211,544,5,0,2,0,0,15,141
murena,504,10673,60089,3164,1782,371,1091,1048,1066,678,1125,4,0,0,0,0,2,342
domo,607,15374,85960,4625,2450,555,1630,1416,1483,972,1725,4,0,10,0,0,3,501
brut,1788,35343,192727,9539,5852,1233,3129,4256,4005,2288,3618,21,0,9,1,0,32,1360
fam,6650,122843,645779,30751,20483,3079,11731,13707,13415,7701,16133,84,0,72,1,0,388,5298
consulatu,25,552,3090,185,69,43,55,41,35,24,33,0,0,1,0,0,3,63
phil,3171,53582,301487,15638,9260,1889,5255,5194,5089,3126,5829,46,0,46,1,0,43,2166
flacco,683,11047,63226,3394,1957,383,1058,1039,992,690,1184,4,0,10,0,0,7,329
orator,2510,82040,448716,21339,14699,2512,6549,9304,10874,5301,9007,33,0,40,10,0,47,2325
optgen,76,1602,8696,430,292,43,143,158,228,111,159,0,0,0,0,0,3,35
scauro,207,3064,16636,895,488,105,267,338,329,192,361,0,0,2,0,0,14,73
fin,2400,48112,260473,11847,9355,1401,3911,5388,6061,2980,5605,15,0,16,32,0,42,1459
postreditum,219,7118,40813,2202,992,261,818,681,698,425,762,7,0,0,0,0,2,270
senectute,531,8407,46659,2322,1509,292,714,1009,983,450,816,14,0,9,1,0,10,278
sestio,614,17074,96824,5283,2694,598,1913,1461,1612,1100,1877,5,0,8,0,0,13,510
deio,195,3991,21734,1075,711,132,367,420,384,294,482,0,0,2,0,0,3,121
att,11562,126459,647127,30565,21997,3097,10518,14722,13513,8835,17004,100,0,169,21,0,678,5240
vatin,153,4588,25292,1408,658,131,480,448,398,335,565,3,0,0,0,0,2,160
oratore,1666,63190,345173,16693,11204,1868,5037,6953,8225,4135,7162,26,0,33,9,0,35,1810
fratrem,1170,18996,102025,5086,3257,484,1613,2110,2071,1297,2395,14,0,19,1,0,40,609
tusc,2726,48214,265666,12663,9234,1683,3941,5285,5612,2721,5097,35,0,51,69,0,71,1752
piso,513,11164,62963,3449,1689,407,1160,1097,1047,626,1349,4,0,20,3,0,8,305
arch,121,3169,17813,931,491,79,317,306,346,227,367,0,0,1,0,0,0,104
fato,231,5139,27367,1267,1093,170,344,530,701,336,507,1,0,2,1,0,1,186
caecina,459,10526,56027,2623,2092,369,743,1196,1160,692,1301,3,0,2,0,0,1,344
plancio,525,11711,62642,2988,2025,375,1052,1325,1263,708,1619,3,0,14,0,0,7,332
acad,234,4978,27548,1241,878,159,397,542,606,349,560,4,0,0,2,0,0,240
