text_name,num_sentences,num_words,num_chars,num_noun,num_verb,num_particple,num_adjective,num_adverb,num_conjunction,num_preposition,num_pronoun,num_numeral,num_interjection,num_exclamation,num_punctuation,num_unknown,num_-,num_untagged
lig,197,3331,17563,444,324,41,237,326,314,244,476,7,0,2,0,841,1,74
cat,543,12817,71568,2815,1668,408,1157,1159,1239,816,1679,10,0,13,0,1462,4,387
partitione,521,10046,56567,1365,914,166,530,759,1447,778,1037,11,0,0,0,2618,1,420
balbo,260,6858,38861,1367,667,78,523,534,743,440,755,2,0,7,0,1532,2,208
marc,123,2838,15269,495,279,49,295,343,326,139,319,6,0,0,0,499,0,88
nd,1469,36351,200544,5651,3892,336,2390,3224,4322,2090,3930,40,0,9,0,8980,4,1483
sex,670,13486,73012,2021,1614,160,895,1257,1350,846,1877,17,0,9,0,2954,2,484
rabiriopost,249,4130,22587,637,475,54,277,435,437,219,540,15,0,2,0,916,0,123
adbrutum,694,9979,53407,1583,1108,112,790,930,1008,661,1259,44,0,4,0,2155,3,322
verres,4715,97088,549985,15680,10309,1264,6859,8280,8576,6609,12247,214,0,60,0,23990,36,2964
rosccom,398,4796,25872,545,610,55,263,446,453,323,617,4,0,1,0,1369,1,109
topica,341,6916,37968,956,770,83,445,583,826,533,878,3,0,0,0,1712,1,126
sulla,409,9376,51668,1721,925,116,699,831,939,646,1376,3,0,9,0,1881,3,227
rabirio,408,7824,42789,1381,777,94,566,683,797,485,929,17,0,2,0,1785,12,296
ver,4913,101830,577080,16499,10778,1333,7236,8701,8996,6921,12848,227,0,62,0,25022,39,3168
imp,267,6772,38623,1381,596,80,636,575,640,475,794,5,0,1,0,1348,3,238
prov,216,5160,29245,968,486,87,409,511,520,304,661,11,0,0,0,1090,1,112
cluentio,1171,21010,119059,3356,2270,351,1251,1889,1923,1405,2814,45,0,7,0,5211,5,483
inventione,1292,33678,184164,4581,3740,506,1779,2631,4275,2898,4127,57,0,142,29,8170,431,312
leg,1727,33113,183272,5411,3261,379,2261,2802,3418,2028,3840,76,0,21,0,8378,37,1201
off,1601,34821,194839,5098,3892,435,2415,3089,4261,2196,3888,43,0,9,0,8232,8,1255
caecilium,228,5882,31835,797,706,64,394,561,532,401,938,9,0,1,0,1266,1,212
fonteio,237,4715,26871,855,421,49,352,365,470,321,537,4,0,4,0,1147,6,184
legagr,664,13984,80172,2576,1360,171,1056,1123,1291,842,1694,21,0,6,0,3475,6,363
repub,820,20067,109777,3454,1978,204,1463,1729,2275,1213,2226,58,0,10,0,4465,12,980
amic,412,9456,51609,1305,1103,108,625,986,1159,642,1126,6,0,3,0,2108,4,281
divinatione,1443,28118,156858,3998,3120,445,1553,2443,3158,1625,3181,51,0,7,0,7518,7,1012
compet,149,4420,24045,711,520,37,318,374,529,299,652,10,0,1,1,913,0,55
haruspicum,311,7666,43178,1313,680,107,614,686,678,485,990,1,0,4,0,1798,1,309
milo,679,10725,58779,1805,1091,177,781,1085,1023,635,1379,16,0,10,0,2402,2,319
cael,400,8555,48224,1411,840,81,566,841,876,553,1084,7,0,6,0,2052,1,237
quinc,501,8791,48067,1249,1118,104,482,874,840,537,1132,28,0,11,0,2133,2,281
paradoxa,276,4445,24087,669,553,44,294,421,491,207,600,8,0,3,0,1009,5,141
murena,504,10673,60089,1973,1048,143,838,897,1054,674,1271,6,0,0,0,2424,3,342
domo,607,15374,85960,2979,1428,219,1291,1217,1425,974,1892,9,0,12,0,3421,6,501
brut,1788,35343,192727,5008,3743,429,2312,3664,3946,2268,4032,82,0,15,0,8461,23,1360
fam,6650,122843,645779,16246,13417,1337,9356,11374,13019,7680,17038,435,0,92,0,27467,84,5298
consulatu,25,552,3090,133,30,17,36,35,35,21,31,0,0,1,0,147,3,63
phil,3171,53582,301487,10173,5471,874,4105,4617,4874,3110,6347,145,0,50,0,11641,9,2166
flacco,683,11047,63226,1944,1152,143,766,910,1000,682,1329,11,0,10,0,2766,5,329
orator,2510,82040,448716,10532,8637,890,5049,8039,10628,5302,10333,96,0,53,0,20135,21,2325
optgen,76,1602,8696,172,179,17,117,134,225,110,174,3,0,0,0,436,0,35
scauro,207,3064,16636,478,286,38,184,291,315,188,400,1,0,5,0,790,15,73
fin,2400,48112,260473,6223,5921,485,3374,4815,5961,2977,6329,45,0,19,13,10473,18,1459
